Date(LT),"Aparri","Baguio","Calayan","Casiguran","Tuguegarao"
11/8/2020 2:00,0,0.01,0,0,0
11/8/2020 5:00,0.1,0,,9,16
11/8/2020 8:00,5.9,0.3,3,13,37.1
11/8/2020 11:00,3.2,0,,4,22
11/8/2020 14:00,25,0,9.4,10,39.3
11/8/2020 17:00,31,0,,11,5.1
11/8/2020 20:00,64,4.4,9,11.4,12.6
11/8/2020 23:00,35,14,,18,17.4
11/9/2020 2:00,35.5,25,0.4,34,31.1
11/9/2020 5:00,3,4.6,,22,7
11/9/2020 8:00,4.2,8,0.2,67.6,10
11/9/2020 11:00,20,0,,9,6.3
11/9/2020 14:00,21,1.6,97.2,9.6,6.3
11/9/2020 17:00,0,0,,0,0
11/9/2020 20:00,0,0,12.2,0,0
11/9/2020 23:00,1,0,,1,0.2
11/10/2020 2:00,17,0,7.4,1.6,11
11/10/2020 5:00,15.5,0,,0.7,12
11/10/2020 8:00,45,0,24.2,0.7,12.5
11/10/2020 11:00,35.6,0,,0,4.7
11/10/2020 14:00,44.6,0,1.2,1,5.7
11/10/2020 17:00,1,0,,8,2.3
11/10/2020 20:00,1,2.2,3.4,38.2,7.8
11/10/2020 23:00,0.5,1,,0.8,3.2
11/11/2020 2:00,0.5,1,2.6,0.8,4.3
11/11/2020 5:00,14,0,,0,3.8
11/11/2020 8:00,15,0,0.6,0.5,3.9
11/11/2020 11:00,7.2,0,,3,5.3
11/11/2020 14:00,7.2,0.4,4.8,4.5,15.2
11/11/2020 17:00,2,0,,11,2.7
11/11/2020 20:00,2.5,0.6,1.2,60.5,3.2
11/11/2020 23:00,1.5,0.2,,30,1.6
11/12/2020 2:00,3.5,8.6,1,139.5,8
11/12/2020 5:00,0,12,,11,8
11/12/2020 8:00,9.4,22,2.4,33.5,59.8
11/12/2020 11:00,6,20.4,,3,45
11/12/2020 14:00,28,68.4,60.8,6.5,51
11/12/2020 17:00,82,0.8,,1,1
11/12/2020 20:00,130,3.8,17,1.5,14.7
11/12/2020 23:00,31.1,0.4,,5,6.6
11/13/2020 2:00,50,0.4,95.6,5.1,22.6
11/13/2020 5:00,1,0,,0,0
11/13/2020 8:00,1,0,7,0,0
11/13/2020 11:00,0,0,,0,0
11/13/2020 14:00,0,2.4,0,0,0
11/13/2020 17:00,0,2,,0,0
11/13/2020 20:00,0,0,0,0,0
11/13/2020 23:00,0,0,,0,0
11/14/2020 2:00,0,0,0,0,0
11/14/2020 5:00,0,0,,0,0
11/14/2020 8:00,0,0,1.6,0,0
11/14/2020 11:00,0.01,0,,3,0.2
11/14/2020 14:00,0.01,0,0.01,11.8,0
11/14/2020 17:00,0,0,,26,0
11/14/2020 20:00,0,0,0.6,27.2,0
11/14/2020 23:00,3,0,,0,0
